code;number;edition;character;series;quality;obtainedDate;obtainedTimestamp;burnValue;dye.code;dye.name;frame;morphed;trimmed;tag;alias;wishlists;fights;dropQuality;dropper;grabber;guild;worker.effort;worker.style;worker.purity;worker.grabber;worker.dropper;worker.quickness;worker.toughness;worker.vanity;worker.recoveryDate;worker.recoveryTimestamp
vvtlmlf;244;4;Ohagi;The Yakuza's Guide to Babysitting;4;Tue, 02 May 2023 00:47:11 GMT;1,68299E+12;254;;;;No;No;keep;;4;0;4;;7,32966E+17;7,17031E+17;125;F;S;S;F;B;F;F;;
vvt1t8k;6402;3;Statue of Bauwanko;Doraemon: Nobita and the Haunts of Evil;4;Mon, 01 May 2023 16:49:17 GMT;1,68296E+12;76;;;;No;No;;;1;0;4;7,32966E+17;7,32966E+17;7,17031E+17;43;F;S;S;S;S;F;D;;
vvt19kl;52878;1;Pashet;Ozmafia!!;0;Mon, 01 May 2023 16:28:18 GMT;1,68296E+12;2;;;;No;No;;;1;1;0;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;S;D;D;;
vvtnjlx;52461;1;Childhood Friend;Hacka Doll the Animation;0;Mon, 01 May 2023 15:48:11 GMT;1,68296E+12;1;;;;No;No;;;0;0;0;7,32966E+17;7,32966E+17;7,17031E+17;0;F;S;S;S;B;F;D;;
vvtnm4j;51644;1;Jean-Pierre;Junji Ito Collection;4;Mon, 01 May 2023 15:16:40 GMT;1,68295E+12;18;;;;No;No;;;4;0;4;7,32966E+17;7,32966E+17;7,17031E+17;13;F;S;S;S;A;F;D;;
vvtbcwc;6636;4;Maika Sakuranomiya;Blend S;2;Mon, 01 May 2023 14:18:35 GMT;1,68295E+12;60;;;;No;No;keep;;65;0;2;7,32966E+17;7,32966E+17;7,17031E+17;34;F;S;S;S;A;F;D;;
vvt5b88;12851;3;Kageyuki Shiraishi;Collar X Malice;1;Mon, 01 May 2023 13:47:18 GMT;1,68295E+12;15;;;;No;No;;;5;0;1;7,32966E+17;7,32966E+17;7,17031E+17;8;F;S;S;S;S;F;D;;
vvt53lp;1846;4;Sadeena;The Rising of the Shield Hero 2nd Season;1;Mon, 01 May 2023 13:31:54 GMT;1,68295E+12;28;;;;No;No;shield;;5;0;1;7,32966E+17;7,32966E+17;7,17031E+17;15;F;S;S;S;S;F;D;;
vvtbmdc;52001;1;Wadatsumi;One Piece;4;Mon, 01 May 2023 13:08:26 GMT;1,68295E+12;45;;;;No;No;op;;1;0;4;;7,32966E+17;7,17031E+17;20;F;S;S;F;F;F;D;;
vvtbrl3;22273;2;Lee Min-Sung;Solo Leveling;2;Mon, 01 May 2023 12:55:29 GMT;1,68295E+12;37;;;;No;No;;;1;1;2;7,32966E+17;7,32966E+17;6,48032E+17;20;F;S;S;S;S;D;D;;
