"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vq4pljg","55023","1","Anne","JoJo's Bizarre Adventure: Stardust Crusaders","0","Mon, 17 Jul 2023 13:22:00 GMT","1689600120482","5","","","","No","No","watchlater","","2","0","0","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","B","F","F","",""
"vq4pb7z","2195","5","Ruggie Bucchi","Twisted Wonderland","4","Mon, 17 Jul 2023 12:53:50 GMT","1689598430589","246","","","","No","No","","","36","0","4","","732966109916954677","717030509405929503","124","F","S","S","F","B","F","D","",""
"vq4pp45","31226","2","Pixie","Persona 5 the Animation","0","Mon, 17 Jul 2023 12:43:20 GMT","1689597800710","6","","","","No","No","","","2","0","0","732966109916954677","732966109916954677","717030509405929503","4","F","S","S","S","S","F","D","",""
"vq4p0wd","49433","1","Fina","Golden Kamuy 3rd Season","0","Mon, 17 Jul 2023 12:12:59 GMT","1689595979742","1","","","","No","No","","","0","0","0","732966109916954677","732966109916954677","757946476809682954","0","F","S","S","S","A","F","D","",""
"vq44gbn","49175","1","Tokijirou","One Piece","1","Mon, 17 Jul 2023 11:04:02 GMT","1689591842608","3","","","","No","No","op","","1","0","1","732966109916954677","732966109916954677","757946476809682954","1","F","S","S","S","A","F","D","",""
"vq41ts8","4412","3","Sariel","Shaman King","3","Mon, 17 Jul 2023 09:58:08 GMT","1689587888771","51","","","","No","No","","","0","0","3","732966109916954677","732966109916954677","717030509405929503","28","F","S","S","S","A","F","D","",""
"vq4j12t","55023","1","Ryouta Suzuki","Free! Dive to the Future","2","Mon, 17 Jul 2023 06:14:42 GMT","1689574482380","4","","","","No","No","","","0","0","2","732966109916954677","732966109916954677","757946476809682954","1","F","S","S","S","A","F","D","",""
"vq455bs","52781","1","Itachi's Susanoo","Naruto Shippuden","2","Mon, 17 Jul 2023 04:41:19 GMT","1689568879053","42","","","","No","No","","","45","0","2","732966109916954677","732966109916954677","717030509405929503","24","F","S","S","S","A","F","D","",""
"vq4b0h4","55031","1","Takayanagi","Asobi Asobase","2","Mon, 17 Jul 2023 04:07:14 GMT","1689566834297","2","","","","No","No","","","0","0","2","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","A","F","D","",""
"vq45vxp","54886","1","Arin Kannazuki","Trinity Seven","3","Mon, 17 Jul 2023 03:35:12 GMT","1689564912178","37","","","","No","No","","","5","0","3","","732966109916954677","717030509405929503","16","F","S","S","F","F","F","D","",""
"vq4k23p","28959","2","Koala","One Piece","2","Mon, 17 Jul 2023 01:36:51 GMT","1689557811374","48","","","","No","No","","","26","0","2","","732966109916954677","717030509405929503","23","F","S","S","F","B","F","D","",""
"vq4whx7","36519","1","Suruga Koteyama","Liz and the Blue Bird","2","Mon, 17 Jul 2023 01:02:13 GMT","1689555733207","3","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","B","F","D","",""
"vqzshcq","2117","5","Barbara Parker","Little Witch Academia","2","Sun, 16 Jul 2023 14:33:23 GMT","1689518003761","47","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","25","F","S","S","S","A","F","D","",""
"vqz7609","30329","1","Judy Devens","Phantom: Requiem for the Phantom","2","Sun, 16 Jul 2023 14:01:51 GMT","1689516111950","2","","","","No","No","","","0","0","2","","732966109916954677","717030509405929503","1","F","S","S","F","C","F","D","",""
